17,6,negative
17,7,negative
17,3,negative
17,5,negative
17,4,negative
31,1,positive
43,6,negative
43,7,negative
43,3,irrelevant
43,5,irrelevant
43,4,negative
44,7,irrelevant
44,3,irrelevant
44,5,irrelevant
44,4,irrelevant
62,1,negative
65,6,irrelevant
65,3,negative
65,4,positive
65,5,irrelevant
99,1,positive
148,6,irrelevant
148,7,negative
148,3,negative
148,5,irrelevant
148,4,negative
172,1,positive
245,1,irrelevant
302,6,irrelevant
302,7,irrelevant
302,3,irrelevant
302,5,irrelevant
302,4,irrelevant
355,6,irrelevant
355,7,irrelevant
355,3,irrelevant
355,5,irrelevant
355,4,irrelevant
371,6,irrelevant
371,7,irrelevant
371,3,irrelevant
371,5,irrelevant
371,4,irrelevant
397,6,positive
397,7,negative
397,3,negative
397,5,negative
397,4,positive
399,6,negative
399,3,negative
399,1,negative
399,4,negative
399,5,negative
403,1,positive
410,6,irrelevant
410,7,irrelevant
410,3,irrelevant
410,5,irrelevant
410,4,irrelevant
417,6,negative
417,7,negative
417,3,negative
417,5,negative
417,4,negative
449,11,negative
451,11,negative
451,3,negative
452,6,positive
452,3,positive
452,1,positive
452,5,positive
452,4,positive
455,6,negative
455,7,negative
455,11,negative
455,10,positive
455,3,negative
455,1,negative
455,4,negative
455,5,negative
456,6,negative
456,7,positive
456,11,positive
456,4,positive
456,5,irrelevant
459,6,positive
459,7,positive
459,10,positive
459,3,irrelevant
459,4,positive
459,5,positive
460,3,irrelevant
462,6,positive
462,7,positive
462,11,positive
462,3,positive
462,4,irrelevant
462,5,irrelevant
464,6,negative
464,7,negative
464,10,negative
464,3,negative
464,1,negative
464,4,positive
464,5,negative
471,6,negative
471,10,negative
471,3,negative
471,5,negative
471,4,negative
477,6,negative
477,7,negative
477,11,negative
477,3,negative
477,4,negative
477,5,negative
479,6,negative
479,7,negative
479,11,positive
479,3,negative
479,4,negative
479,5,negative
486,11,positive
499,6,irrelevant
499,7,irrelevant
499,10,negative
499,3,irrelevant
499,4,irrelevant
499,5,irrelevant
512,11,irrelevant
512,3,irrelevant
513,11,irrelevant
513,3,irrelevant
515,6,irrelevant
515,7,irrelevant
515,11,irrelevant
515,3,irrelevant
515,4,irrelevant
515,5,irrelevant
545,11,irrelevant
545,3,irrelevant
549,6,irrelevant
549,7,irrelevant
549,11,irrelevant
549,3,irrelevant
549,4,irrelevant
549,5,irrelevant
563,6,irrelevant
563,3,irrelevant
563,5,irrelevant
563,4,irrelevant
578,6,irrelevant
578,7,irrelevant
578,10,irrelevant
578,3,irrelevant
578,4,irrelevant
578,5,irrelevant
580,6,positive
580,7,positive
580,11,negative
580,10,negative
580,3,negative
580,4,negative
580,5,negative
588,11,positive
588,3,negative
589,11,irrelevant
589,3,irrelevant
590,6,positive
590,7,negative
590,11,negative
590,10,negative
590,3,negative
590,4,negative
590,5,negative
591,6,irrelevant
591,11,irrelevant
591,7,irrelevant
591,10,irrelevant
591,3,irrelevant
591,4,irrelevant
591,5,irrelevant
594,6,irrelevant
594,7,irrelevant
594,10,irrelevant
594,3,irrelevant
594,4,irrelevant
594,5,irrelevant
595,11,irrelevant
595,3,irrelevant
600,11,irrelevant
600,3,irrelevant
617,6,irrelevant
617,11,positive
617,3,irrelevant
617,4,irrelevant
617,5,irrelevant
619,6,irrelevant
619,7,positive
619,11,negative
619,3,irrelevant
619,4,irrelevant
619,5,irrelevant
660,6,irrelevant
660,7,irrelevant
660,11,irrelevant
660,3,irrelevant
660,5,irrelevant
673,6,irrelevant
673,7,irrelevant
673,11,irrelevant
673,3,irrelevant
673,4,irrelevant
673,5,irrelevant
